issue,created_at,closed_at
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/584,2020-09-23 14:33:45,2020-09-23 19:16:50
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/583,2020-09-23 02:29:35,2020-09-23 06:21:01
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/582,2020-09-20 17:41:54,2020-09-23 06:21:25
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/582,2020-09-20 23:26:05,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/582,2020-09-20 23:43:46,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/581,2020-09-20 00:48:51,2020-09-20 12:07:02
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/580,2020-09-19 18:21:28,2020-09-19 21:58:39
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/580,2020-09-19 19:07:33,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/580,2020-09-19 21:36:32,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/580,2020-09-19 21:39:48,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/579,2020-09-19 17:30:58,2020-09-20 15:16:49
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/579,2020-09-20 12:18:43,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/578,2020-09-19 14:39:30,2020-09-20 14:27:25
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/578,2020-09-20 12:01:19,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/577,2020-09-18 22:12:58,2020-09-19 21:37:59
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/577,2020-09-19 01:52:31,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/577,2020-09-19 20:58:51,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/576,2020-09-15 17:34:11,2020-09-15 17:39:36
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/576,2020-09-15 17:39:32,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/575,2020-09-14 15:47:50,2020-09-14 18:32:18
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/575,2020-09-14 16:01:09,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/575,2020-09-14 16:25:18,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/575,2020-09-14 16:57:03,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/575,2020-09-14 17:14:33,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/575,2020-09-14 18:44:03,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/575,2020-09-14 19:54:36,
